gene,mito,n_cells,highly_variable,means,dispersions,dispersions_norm
AL137186.2,False,187,False,1.0045505411956797,1.0479805749894522,0.5030633
DDX21,False,187,False,3.4951777043497723,2.1602727031728026,-0.5304792
DHTKD1,False,187,False,2.8027265632560474,2.5946657784228067,0.2429225
PIK3AP1,False,187,False,2.7994662032136017,3.877391812421167,1.5148097
BMS1P7,False,187,False,0.8513564017836995,1.0436526083307323,0.49815652
EIF3A,False,187,False,4.097212125528981,2.819380986933631,-0.7552775
LINC00865,False,187,False,0.7160903069141383,0.7797011844997361,0.19890371
CHST3,False,187,False,2.146771625786146,2.474592931784581,0.36149356
HK1,False,187,False,4.079078730273605,3.340138823193736,-0.19456553
OGA,False,187,False,3.665320190936076,2.480789032777202,-0.62509805
IKZF5,False,187,False,2.116722215866417,1.0898741987130567,-0.9132854
SVIL-AS1,False,187,False,2.9730797890534495,2.0240055292439143,-0.3229158
STN1,False,187,False,3.1321245371944566,2.114403880091679,-0.5775516
MLLT10,False,187,False,3.011707326317189,1.7483506940892999,-0.59624135
INPP5A,False,187,False,2.43829954777637,1.8915971733332744,-0.17521523
SUPV3L1,False,187,False,3.1956842072367775,1.4730797843211993,-1.2357041
CPXM2,False,187,False,1.9660091689123966,3.309465763518061,1.4226701
UBE2D1,False,187,False,2.42861210128455,1.031471098771916,-0.96705157
MRPS16,False,187,False,4.153206660912091,2.4257045810503457,-1.179158
LOXL4,False,187,False,2.4379934761538946,5.119328271824164,2.79625
MPP7,False,187,False,2.211758160087402,3.2231035567528443,1.0505762
AL359183.1,False,187,False,0.47625785218565403,-0.5124720297639731,-0.16711132
POLR3A,False,187,False,2.032387435292201,0.5309198250435951,-1.1656128
DNAJC9,False,187,False,3.1083275770587098,1.6654529462330476,-1.038283
ADAM8,False,187,False,3.1654620262430053,3.6667841058114323,1.0155631
ACTR1A,False,187,False,4.040234690317832,2.3341742767695304,-0.7838786
ZFYVE27,False,187,False,2.9853005977169063,2.1531063006410265,-0.19490589
OLMALINC,False,187,False,2.864625294621632,2.327811743740697,-0.021676673
ZNF518A,False,187,False,2.003498455708381,1.3373818697039186,-0.41437387
TYSND1,False,187,False,2.40891264281074,1.1128175648043614,-0.8921636
PLAC9,False,187,False,2.2046991669936205,4.453831123803139,2.18359
FRAT2,False,187,False,2.5302200866531788,1.5367179170497778,-0.50191885
MRC1,False,187,False,2.002284722740675,2.416723509027686,0.591059
ARL5B,False,187,False,2.125200223479147,1.3291126941314064,-0.6930412
ZNF22,False,187,False,2.9293954011459107,1.7344330736698583,-0.6100414
RPARP-AS1,False,187,False,2.6311974676348817,2.014556943596489,-0.33228454
ZNF239,False,187,False,2.1189390810583957,1.6203279593632685,-0.424947
ENTPD1-AS1,False,187,False,1.9175419863934402,1.1271185593835742,-0.61023927
DNA2,False,187,False,1.5080168936391625,0.5567726436001997,-0.78343505
GHITM,False,187,False,4.516982734276741,2.9258465431918173,-0.6406436
INPP5F,False,187,False,2.7191454462022864,4.278679042892601,1.9127061
NDST2,False,187,False,2.7303734896537546,1.3550817132076154,-0.98618734
CCAR1,False,187,False,3.5654152151683665,1.9632160973063155,-1.1856183
ALDH18A1,False,187,False,3.724140854582745,2.364142693454667,-0.7514235
EDRF1-DT,False,187,False,1.3494482012360318,0.7792024876751799,-0.56157523
FBXW4,False,187,False,3.464588472058648,2.427053581603467,-0.25669795
ACTA2,False,187,False,6.162827224473221,8.319704933414263,2.0793276
STAMBPL1,False,187,False,1.8909132097540613,2.299719126919453,0.4820666
ATE1,False,187,False,2.3969990934212113,1.2267171159974581,-0.7873071
TACR2,False,187,False,0.7260385380224181,0.8044121984070346,0.22691962
BUB3,False,187,False,4.371825249796674,3.2727341572453335,-0.2671417
IFIT1,False,187,False,2.775689121943053,3.439714034845815,1.0808302
FBXL15,False,187,False,2.852233535300503,1.9580469490942642,-0.38831702
GSTO1,False,187,False,4.914904332277645,4.151228117684722,0.09631631
ANKRD26,False,187,False,1.6465476096065341,0.7542679792046643,-0.95755863
KIFBP,False,187,False,2.8361407911195426,1.3837962754401658,-0.9577154
CUTC,False,187,False,2.4936217341509974,1.0539532224332073,-0.9463544
XPNPEP1,False,187,False,3.790083462967441,2.485840118355496,-0.61962783
PDCD11,False,187,False,2.875428939630961,1.6936296844303802,-0.6505
DPCD,False,187,False,3.250781747326791,2.400817882485491,-0.2836221
FRAT1,False,187,False,1.295750721429426,0.7518212987959273,-0.58888626
SMC3,False,187,False,2.8959940223963203,1.6487143963331117,-0.69503576
FAM13C,False,187,False,1.4111556726289027,2.889836634333013,1.5436499
STK32C,False,187,False,2.631591645849756,2.1029788797827584,-0.24460974
RUFY2,False,187,False,1.979102161815171,1.3347572665637002,-0.41681877
AL360181.2,False,187,False,1.1787182092810033,0.801897154983815,-0.5389387
BMI1,False,187,False,3.5353653012754034,3.39896269354296,0.74071413
SGPL1,False,187,False,3.1110863400143467,2.274194929059608,-0.41356763
VCL,False,187,False,3.7764009418039723,3.9143363199427568,0.9274027
RSU1,False,187,False,3.8728553196263316,2.7630258583652734,-0.31944165
CPEB3,False,187,False,0.7239868550876947,0.46090541494248305,-0.16252844
SFR1,False,187,False,1.8953411394240929,1.2056568554664084,-0.5370789
GDI2,False,187,False,4.920478872801848,3.2931754135507036,-0.8061629
ADAMTS14,False,187,False,1.215617667145092,1.8705769492603221,0.52700233
REEP3,False,187,False,3.17804770915213,2.395008862941213,-0.28958353
PCGF6,False,187,False,1.6896633558835195,0.010486472452155313,-1.6504091
CDC123,False,187,False,4.073184006301744,2.7492591329394465,-0.8307793
DLG5,False,187,False,3.2014283766255756,3.122015969883953,0.4565003
BLNK,False,187,False,2.658357808514206,3.868189804344675,1.5056854
KIF5B,False,187,False,3.770104499133604,2.2274682367892717,-0.899439
TASOR2,False,187,False,3.020571333455057,2.697926092256965,0.34531027
EGR2,False,187,False,2.082429035615329,3.47511267379583,1.282577
PRF1,False,187,False,1.7357240697278014,2.522738943538213,0.689815
ITIH5,False,187,True,2.955756613119225,5.559965107150626,3.1831656
CWF19L1,False,187,False,2.5126831221698778,0.5675146611880872,-1.3941722
RTKN2,False,187,False,1.1640273695986987,0.7139769724685111,-0.6266336
MXI1,False,187,False,3.51863131532353,3.265946294655659,0.60420734
PRKCQ,False,187,False,0.9300643309274771,1.660720133279125,1.1977519
PDSS1,False,187,False,2.145605710046413,1.029532589650713,-0.9688361
AL133216.2,False,187,False,0.9424719929100923,-0.47684007240449605,-1.2256899
KLLN,False,187,False,0.3387531112545651,-1.2560103053633915,-1.0880178
ITGB1-DT,False,187,False,0.8159480528604772,2.2810438255622674,1.9010389
ENTPD7,False,187,False,1.499422381834861,0.6012691425321747,-0.7390526
GBF1,False,187,False,3.2484030629403593,1.7229042866573463,-0.97932416
SEMA4G,False,187,False,2.8919002446306306,3.628939995791745,1.2684573
NCOA4,False,187,False,4.389923695103588,2.9319540173898986,-0.63406754
LDB3,False,187,False,1.4595798442145325,3.355547340747557,2.008167
ARHGAP12,False,187,False,2.6305429285001716,1.6681541791480905,-0.67576027
ZWINT,False,187,False,3.53088860202525,2.8733534492282446,0.20131285
HPS6,False,187,False,2.5251421114277903,0.7184711522545199,-1.2552009
AC016394.2,False,187,False,1.4189197623146272,0.5634850060208376,-0.7767399
UPF2,False,187,False,2.674819546045562,1.3463318489433658,-0.9948632
CAMK2G,False,187,False,2.9966725723628302,1.936987253247931,-0.40919876
ZMIZ1,False,187,False,3.4958518908133325,2.9434679170030225,0.27326712
AL450326.1,False,187,False,0.8910804363596405,-0.26290160575296356,-0.98313886
SEC61A2,False,187,False,1.9122860091681317,1.0671840954111458,-0.6660697
NUTM2D,False,187,False,0.9774012110724297,0.19211389294277545,-0.46726868
PTER,False,187,False,2.2287191893994978,1.2110401525618457,-0.8017394
NFKB2,False,187,False,3.720835367266566,3.3049834575938863,0.2674867
SORBS1,False,187,False,3.1850047400786767,4.512334658226472,1.883301
PRDX3,False,187,False,5.033062695925067,4.608926630148902,0.5777126
ASB13,False,187,False,3.0663257870687515,3.1760555741612277,0.5119579
HHEX,False,187,False,2.3686373450143763,3.4240073483249525,1.2355292
PLEKHA1,False,187,False,3.0167785147078194,2.373904524909434,0.024026632
PDZD7,False,187,False,0.8563732352009422,0.5432663240348407,-0.069152415
WASHC2C,False,187,False,2.970750562423279,1.6131072810462066,-0.73034203
NANOS1,False,187,False,1.6633861128277032,2.3985976638583777,0.57417434
ITPRIP,False,187,False,2.3036203021667094,1.9921166307502851,-0.082676515
AGAP11,False,187,False,0.7360154041838389,1.020252200645978,0.4716265
AL513534.3,False,187,False,0.5547435447819681,0.43465512026017955,1.0059494
GPAM,False,187,False,2.193144165799067,3.5528259919760155,1.3541203
ZMIZ1-AS1,False,187,False,0.7486490710891149,0.25978520873506217,-0.39054686
MAPK8,False,187,False,3.1197640355541156,1.8635201799965408,-0.8350185
C10orf143,False,187,False,1.4067350583069786,0.8073476337107404,-0.5335022
ZNF511,False,187,False,3.855277836255524,2.856278631847796,-0.21845092
VSTM4,False,187,False,1.5609981135107123,2.2266258231674367,0.8821387
ITGA8,False,187,False,1.3706898215064611,4.075547799268493,2.7263224
NET1,False,187,False,3.9101269125963536,3.777768904795087,0.7795031
PHYH,False,187,False,3.6459361994544666,3.2695157864398436,0.22907598
ARID5B,False,187,False,2.524573934814491,2.3444804694307777,0.24171138
AC069544.1,False,187,False,0.8455374038042998,-0.0035312802121818003,-0.6890798
ADO,False,187,False,2.4297462144582114,1.3117694852783872,-0.70900744
CCNJ,False,187,False,1.4115420026546845,-0.04900438821837874,-1.3876597
ZNF25,False,187,False,1.7157955901550588,1.0575568450567445,-0.6750377
CHCHD1,False,187,False,3.731912698791282,2.6865609121092344,-0.40225154
GLUD1,False,187,False,4.123312837086884,2.9614239801177185,-0.6023365
DDIT4,False,187,False,4.99713473073333,5.10814597183059,1.1027795
CTBP2,False,187,False,4.067806664964287,3.27124883484611,-0.26874098
SEC31B,False,187,False,1.9745394381905133,2.1125743711629292,0.30773672
AGAP5,False,187,False,1.5271459731275263,0.5589812706834657,-0.78123206
GRID1,False,187,False,1.2739361195813779,2.7824049324174256,1.4364935
PPP3CB-AS1,False,187,False,1.1676461499311772,0.08212389159774316,-1.2568674
YWHAZP3,False,187,False,1.962142490848908,1.5473165862472713,-0.2188146
PARG,False,187,False,2.2200356565340233,0.5491950959874582,-1.4110372
NRP1,False,187,False,3.374123518144897,3.4231655442212587,0.76555204
ZNF485,False,187,False,1.3678524536550274,-0.18261954429190758,-1.5209323
LHPP,False,187,False,3.2354698078039985,2.6430751040405793,-0.035008013
WASHC2A,False,187,False,3.182929392399157,2.062515470755587,-0.63080156
WDFY4,False,187,False,1.867327012092907,3.6613818949739882,1.7504885
RPP30,False,187,False,3.2120617673421106,1.3999332526585602,-1.31077
EXOC6,False,187,False,2.104222503617731,0.9988428385175974,-0.99708927
ENTPD1,False,187,False,2.879513616486001,2.8699794208307665,0.5159098
TUBGCP2,False,187,False,3.4306779211493623,1.9102817249679604,-0.7870299
AGAP4,False,187,False,2.274266638216372,1.2408766360477332,-0.7742718
SH3PXD2A,False,187,False,2.7265994948896854,2.8772940415898143,0.5231626
AL731569.1,False,187,False,0.3969510499857379,-0.8673650675630508,-0.60666275
CREM,False,187,False,3.254903730647304,2.396605052575489,-0.28794545
IFIT2,False,187,False,2.450278854899085,2.3241080293484697,0.22295642
MFSD13A,False,187,False,1.8570453605689918,1.649817788098441,-0.12333225
SUV39H2,False,187,False,2.2550277931430505,1.2500748992269022,-0.7658038
AL157394.3,False,187,False,0.1352871447264269,-1.7884575076821942,-1.7474782
DNAJB12,False,187,False,3.2881780496383723,1.3583255654745765,-1.3534695
YME1L1,False,187,False,3.788187909841674,1.8551278311455814,-1.3026756
DCLRE1A,False,187,False,1.948820031069166,0.8563948553035199,-0.86242497
VTI1A,False,187,False,2.244821298719276,0.9163711655851382,-1.0730131
WAC-AS1,False,187,False,2.443293119023748,0.8879166014788772,-1.0992085
RASGEF1A,False,187,False,1.7606996881224144,2.554205220615277,0.7191266
AL135791.1,False,187,False,0.38134818194828407,0.32849658211684185,0.87446713
TIMM23,False,187,False,4.040076468080941,2.351894517388696,-0.764688
HSD17B7P2,False,187,False,1.21698516479797,0.6381946865323564,-0.7022217
WBP1L,False,187,False,2.9665223026705743,1.9775196792101901,-0.36900884
AKR1C1,False,187,False,4.241468565137053,5.974811910444781,2.6422477
AL139407.1,False,187,False,0.4592156333055064,0.3126563180736827,0.8548482
IL2RA,False,187,False,1.484054196467863,2.327430805687811,0.9826854
CCSER2,False,187,False,2.933538781772159,2.6618567633597454,0.30954573
PGAM1,False,187,False,4.880481462522729,3.7709828283405344,-0.30361655
COL13A1,False,187,False,1.7793666650740518,3.8672380281065926,1.9422485
GTPBP4,False,187,False,3.6223250609571718,2.484808533721704,-0.620745
IL15RA,False,187,False,2.6514176958706037,2.7531201683634365,0.40003797
USP54,False,187,False,3.1769596557408604,2.8609265647875928,0.18855989
PDCD4-AS1,False,187,False,1.5820222681305978,1.6937053937161297,-0.082449876
CISD1,False,187,False,3.514151556267491,2.334552375256092,-0.3516264
EIF4EBP2,False,187,False,3.4318714289956054,2.4499724005591825,-0.23317775
STOX1,False,187,False,1.180319489145188,1.0562175285997546,-0.2852701
MSRB2,False,187,False,3.351092821888309,2.9214617580034856,0.25068352
ZFAND4,False,187,False,1.5226957909680403,1.1129748584637662,-0.22865823
AVPI1,False,187,False,2.8151414732136333,3.048007847530218,0.6924339
ZNF32,False,187,False,3.7532711649779884,2.8540536696875884,-0.2208605
AGAP6,False,187,False,2.5363941611307985,1.8001470930552885,-0.25940463
FZD8,False,187,False,2.2968431012201895,3.8558758061214813,1.6331095
MAP3K8,False,187,False,2.4327575223696942,1.999470794841696,-0.07590623
PBLD,False,187,False,2.315481016591699,3.207585857816969,1.0362905
UNC5B,False,187,False,2.853485821283555,3.3321070169268356,0.9741325
ERLIN1,False,187,False,2.9511377947353012,1.6883919841153612,-0.6556935
ATP5F1C,False,187,False,5.534674122635417,4.031136813152907,-0.4848281
NUDT5,False,187,False,3.9538386462617976,2.7529474526621134,-0.33035636
ZRANB1,False,187,False,2.2868181245945913,0.8773083212041056,-1.1089746
AL591684.2,False,187,False,1.009798773704124,0.6657998199221067,0.06976895
KIAA1217,False,187,False,3.203841683360511,3.0128830286175825,0.3445037
CSTF2T,False,187,False,2.6066173246070337,1.1264828438495016,-1.2128545
SEPHS1,False,187,False,3.8134732967035117,2.8011261098602547,-0.2781799
FAM149B1,False,187,False,2.7435050085384693,0.7725143625043923,-1.563832
ABI1,False,187,False,3.662581917995872,1.9591769992411212,-1.1899925
AL391684.1,False,187,False,0.8202481406692173,0.3577816042300248,-0.27944422
MMP16,False,187,False,1.157465090970589,2.8779286474544006,1.5317725
AC022034.1,False,187,False,1.6046290300528963,2.671078847950723,0.8279972
LY6E-DT,False,187,False,1.468822996084585,2.089850172122999,0.7457136
AF235103.3,False,187,False,0.5724601196577797,-0.008038658328341837,0.4576527
EFR3A,False,187,False,3.1635945569991786,2.277556501269703,-0.41011786
AGPAT5,False,187,False,2.552572503450823,1.7349428471817068,-0.31943196
ARMC1,False,187,False,3.135430114114997,1.6538187979740744,-1.0502225
AC027031.2,False,187,False,1.7195603344401116,2.4698890111434904,0.640584
RPS26P6,False,187,False,5.328109267595114,5.584597270691229,1.0272595
RBIS,False,187,False,4.559179784440884,3.4289735364607408,-0.6633337
ADGRA2,False,187,False,2.7732777983980794,3.737578711183293,1.376178
NUDCD1,False,187,False,2.7769177734859514,1.8854162831903063,-0.46033397
MED30,False,187,False,2.9683995399219216,1.6025109143167726,-0.74084884
NBN,False,187,False,3.170564088960876,2.0691610228909707,-0.62398165
LRRC24,False,187,False,1.719361740552075,2.234251026734417,0.42108148
VDAC3,False,187,False,4.598528021478585,3.348965726582382,-0.74748397
ENTPD4,False,187,False,2.9191202696359007,2.290630956807853,-0.058543287
NCALD,False,187,False,2.4395090495953324,3.1723535354620274,1.0038555
FNTA,False,187,False,4.132892740279212,2.7691856355353375,-0.809324
SYBU,False,187,False,2.6234017036558495,2.9471839470212156,0.59246194
CCN4,False,187,False,2.53000450684362,4.415146694616712,2.1479769
WASHC5,False,187,False,3.4669049555035336,2.2058321012784234,-0.4837243
TATDN1,False,187,False,3.6463459091436814,2.8842559651691704,-0.18815207
GASAL1,False,187,False,1.0158739402646517,0.8532330520270829,0.28226987
LRATD2,False,187,False,3.288529580525466,3.715776972392561,1.0658417
DCAF13,False,187,False,3.646156187227495,2.798238905065968,-0.28130668
ATAD2,False,187,False,2.831968880445955,2.3683914643839623,0.018560156
ASAP1,False,187,False,3.3431223291760936,2.7276691595226095,0.051805798
RRM2B,False,187,False,2.760345578185376,2.284783418697481,-0.06434142
DSCC1,False,187,False,1.9230902290288292,1.15719125830519,-0.5822258
PVT1,False,187,False,3.5678781158702866,3.0243938897827314,-0.03638573
KBTBD11,False,187,False,1.1661672158065464,2.5480255085950825,1.2027148
CHCHD7,False,187,False,3.2476281083037084,2.1622023683348743,-0.5284989
CHMP7,False,187,False,3.0606108542007138,2.091579902329158,-0.2559124
TCIM,False,187,False,3.0997820724497807,4.2873669680000885,1.6524302
TMEM64,False,187,False,2.3494599406048597,2.7190347282261236,0.5865279
LRRCC1,False,187,False,2.2709836356357775,1.6078661485600378,-0.43641943
SCRIB,False,187,False,4.138697110410266,3.4893805700026834,-0.033873506
RAB11FIP1,False,187,False,3.344749438734812,3.693897322323151,1.0433879
PCAT1,False,187,False,1.3740354792057554,1.8147900029117803,0.47135833
UBR5-AS1,False,187,False,0.872271070412239,0.46544479990787924,-0.15738194
ZNF704,False,187,False,2.1891631616390237,2.8036847686204367,0.66445714
MROH6,False,187,False,2.935987987729598,3.3819511333861274,1.0235554
INTS10,False,187,False,3.6816224862966136,2.2118367531446226,-0.91636753
CLN8,False,187,False,2.0262204509486645,0.8209065199399658,-0.8954832
PI15,False,187,True,1.7362396353377905,4.930181945686818,2.9324064
TM2D2,False,187,False,3.5621667754983792,2.3590656477668004,-0.7569218
MRPL15,False,187,False,4.4743374059332925,3.452541168064953,-0.07353934
RPS20,False,187,False,7.350079025653852,6.131393968434585,-0.56990975
DENND3,False,187,False,2.7867295971362154,2.9655677337374073,0.6106904
AC021321.1,False,187,False,0.4604795878237252,-0.6643496511447735,-0.35521877
ZNF572,False,187,False,0.8751130824001739,-0.09865675640935108,-0.7969276
FAM86B3P,False,187,False,1.3782443122509571,0.9289024796316843,-0.4122589
ARFGEF1,False,187,False,3.4009265685608305,2.2170419839465487,-0.47222027
PPP2CB,False,187,False,4.055769813647341,2.7959331458147108,-0.7805243
ST3GAL1,False,187,False,3.422438035464514,4.117920741142309,1.4785377
POMK,False,187,False,1.5001811125014115,2.1782655434766087,0.83390236
NSD3,False,187,False,3.3678675981715305,2.831451827835958,0.15831172
ADAM32,False,187,False,0.6919547574953936,0.8513021034710904,0.28008068
PAG1,False,187,False,1.8704843277426857,2.455262401946331,0.62695897
TERF1,False,187,False,2.952668205439878,1.6311952280759592,-0.71240693
AC100810.1,False,187,False,2.7500569666154275,1.7127322446438806,-0.63155884
FZD3,False,187,False,1.3003326158164485,1.2120889210032841,-0.12979817
MAF1,False,187,False,4.8704032217142155,3.457297130809394,-0.6335436
PYCR3,False,187,False,2.9341320669684574,2.323134302314266,-0.02631459
HGH1,False,187,False,3.322192700447088,2.102043340783284,-0.5902365
ZNF7,False,187,False,3.0934721639059792,1.826325333077583,-0.87318933
SGK3,False,187,False,2.1041226398546358,1.7848868762827759,-0.27345327
MRPL13,False,187,False,3.9885034108933435,3.3191258836344075,0.28280264
SLC20A2,False,187,False,3.5383068582243125,3.625850408748644,0.9735554
DUSP4,False,187,False,3.137564114760135,4.379958132696299,1.747451
TMEM70,False,187,False,3.509015591429268,2.625465128689471,-0.053080074
THAP12P7,False,187,False,0.6368270427554051,-0.5014998896103584,-1.2536477
FGFR1,False,187,False,4.339407669626343,5.678299204199854,2.3229856
OXR1,False,187,False,3.0289139131407525,2.3563653446910924,0.006635655
AC011978.2,False,187,False,0.30891845884845986,-1.0975400634725763,-0.8917451
DCTN6,False,187,False,3.3810836398273083,2.28708519956686,-0.40033913
MFHAS1,False,187,False,2.116610162641794,2.7969273982606864,0.65823627
ZNF596,False,187,False,1.4696718356071807,0.4362369396018473,-0.90366185
DMTN,False,187,False,3.1674148726991636,3.2128131896497245,0.54968005
HEY1,False,187,False,2.4762599788743116,4.308193574588987,2.0495155
TACC1,False,187,False,3.3928238298007,3.251664194419771,0.5895505
